PROPERTY VALUE,ONTOLOGY TERM LABEL(S),ONTOLOGY TERM(S),ontology term URI
Cornu aspersum,Cornu aspersum,NCBITaxon_6535,http://purl.obolibrary.org/obo/NCBITaxon_6535
Corythauma ayyar,Corythauma ayyari,NCBITaxon_2737003,http://purl.obolibrary.org/obo/NCBITaxon_2737003
Eggplant mottled dwarf virus,Eggplant mottled dwarf virus (organism),35859007,http://snomed.info/id/35859007
Fragaria vesca-associated virus 1,Fragaria vesca associated virus 1,NCBITaxon_2725111,http://purl.obolibrary.org/obo/NCBITaxon_2725111
Fusarium incarnatum,Fusarium incarnatum,NCBITaxon_298378,http://purl.obolibrary.org/obo/NCBITaxon_298378
Fusarium solani,Fusarium solani,NCBITaxon_169388,http://purl.obolibrary.org/obo/NCBITaxon_169388
Fusarium venenatum,Fusarium venenatum,NCBITaxon_56646,http://purl.obolibrary.org/obo/NCBITaxon_56646
Myiasis,myiasis,EFO_0007389,http://www.ebi.ac.uk/efo/EFO_0007389
Toxic shock syndrome,toxic shock syndrome,DOID_14115,http://purl.obolibrary.org/obo/DOID_14115
Persons with disabilities,Persons with disabilities,OMIT_0007407,http://purl.obolibrary.org/obo/OMIT_0007407
Alcohol use,alcohol use,GSSO_006602,http://purl.obolibrary.org/obo/GSSO_006602
Mental health disorders,Mental health disorders,OMIT_0002893,http://purl.obolibrary.org/obo/OMIT_0002893
Bronchiolitis,Bronchiolitis,NCIT_C39658,http://purl.obolibrary.org/obo/NCIT_C39658
Equine infectious anemia,equine infectious anemia,EFO_0007263,http://www.ebi.ac.uk/efo/EFO_0007263
Contagious caprine pleuropneumonia,contagious pleuropneumonia,EFO_0007221,http://www.ebi.ac.uk/efo/EFO_0007221
Equine viral arteritis,Equine arteritis virus (organism),20225009,http://snomed.info/id/20225009
Haemolytic uraemic syndrome,Haemolytic uraemic syndrome,MONDO_0001549,http://purl.obolibrary.org/obo/MONDO_0001549
Infectious bovine rhinotracheitis,infectious bovine rhinotracheitis,MONDO_0025089,http://purl.obolibrary.org/obo/MONDO_0025089
